Band,Average,Minimum,Maximum,Variance
49,15573.1896664454,12.1,43438.7,104114168.314326
66,16217.1197402983,12.1,43438.7,108504668.974705
69,16861.092352043,4.6,43438.7,101000630.46157
243,16205.5756165641,3.2,43438.7,108158531.635644
