Band, Average,Variance,Deviation
49,2516.51147541,10468640.2301,3235.52781321
66,3197.00382514,14557042.9968,3815.36931329
69,4271.8295082,27027616.4373,5198.80913646
243,7088.95081967,95240598.712,9759.12899351
