Band,Average,Minimum,Maximum,Variance
49,14999.9461276334,51,35096.1,72442100.7350631
66,16938.8480737609,226.2,38904.2,107387638.261423
69,19756.949971294,21.4,42957.3,132807227.789542
243,16628.4401627168,64.5,39008.3,113068066.485
